talent_name,group_name,branch
ときのそら,gen0,JP
ロボ子さん,gen0,JP
AZKi,gen0,JP
さくらみこ,gen0,JP
星街すいせい,gen0,JP
アキ・ローゼンタール,gen1,JP
赤井はあと,gen1,JP
白上フブキ,gen1/GAMERS,JP
夏色まつり,gen1,JP
紫咲シオン,gen2,JP
百鬼あやめ,gen2,JP
癒月ちょこ,gen2,JP
大空スバル,gen2,JP
大神ミオ,GAMERS,JP
猫又おかゆ,GAMERS,JP
戌神ころね,GAMERS,JP
兎田ぺこら,gen3,JP
不知火フレア,gen3,JP
白銀ノエル,gen3,JP
宝鐘マリン,gen3,JP
天音かなた,gen4,JP
角巻わため,gen4,JP
常闇トワ,gen4,JP
姫森ルーナ,gen4,JP
雪花ラミィ,gen5,JP
桃鈴ねね,gen5,JP
獅白ぼたん,gen5,JP
尾丸ポルカ,gen5,JP
ラプラス・ダークネス,holoX,JP
鷹嶺ルイ,holoX,JP
博衣こより,holoX,JP
沙花叉クロヱ,holoX,JP
風真いろは,holoX,JP
アユンダ・リス,ID1,ID
ムーナ・ホシノヴァ,ID1,ID
アイラニ・イオフィフティーン,ID1,ID
クレイジー・オリー,ID2,ID
アーニャ・メルフィッサ,ID2,ID
パヴォリア・レイネ,ID2,ID
ベスティア・ゼータ,ID3,ID
カエラ・コヴァルスキア,ID3,ID
こぼ・かなえる,ID3,ID
森カリオペ,Myth,EN
小鳥遊キアラ,Myth,EN
一伊那尓栖,Myth,EN
がうる・ぐら,Myth,EN
ワトソン・アメリア,Myth,EN
IRyS,Promise,EN
セレス・ファウナ,Promise,EN
オーロ・クロニー,Promise,EN
七詩ムメイ,Promise,EN
ハコス・ベールズ,Promise,EN
シオリ・ノヴェラ,Advent,EN
古石ビジュー,Advent,EN
ネリッサ・レイヴンクロフト,Advent,EN
フワワ・アビスガード,Advent,EN
モココ・アビスガード,Advent,EN
火威青,ReGLOSS,DEV_IS
音乃瀬奏,ReGLOSS,DEV_IS
一条莉々華,ReGLOSS,DEV_IS
儒烏風亭らでん,ReGLOSS,DEV_IS
轟はじめ,ReGLOSS,DEV_IS
エリザベス・ローズ・ブラッドフレイム,Justice,EN
ジジ・ムリン,Justice,EN
セシリア・イマーグリーン,Justice,EN
ラオーラ・パンテーラ,Justice,EN
響咲リオナ,FLOW GLOW,DEV_IS
虎金妃笑虎,FLOW GLOW,DEV_IS
水宮枢,FLOW GLOW,DEV_IS
輪堂千速,FLOW GLOW,DEV_IS
綺々羅々ヴィヴィ,FLOW GLOW,DEV_IS
